pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,run,random_state
2,2,0.35048344430219436,4362.6041927750375,0.41485453058524574,3,44
2,3,0.35048344430219436,3038.0767403803575,0.41980159916100684,3,44
2,4,0.35048344430219436,2213.6897338413773,0.39439918902641036,3,44
2,5,0.35048344430219436,1601.858156172312,0.4057994497821287,3,44
2,6,0.35048344430219436,1311.2260401312815,0.41387450635327877,3,44
2,7,0.35048344430219436,1080.8181531147065,0.415802395317851,3,44
2,8,0.35048344430219436,889.6884272073964,0.4312608213212341,3,44
2,9,0.35048344430219436,795.2281336653764,0.41007573575834283,3,44
3,2,0.4405898279454622,6514.104900888028,0.3357698752753124,3,44
3,3,0.4405898279454622,4862.161422894669,0.3415819665623813,3,44
3,4,0.4405898279454622,3617.951613446863,0.35127028151236084,3,44
3,5,0.4405898279454622,2816.622653312184,0.36683753795688323,3,44
3,6,0.4405898279454622,2330.5360755922743,0.3736448380507702,3,44
3,7,0.4405898279454622,1995.2816851427563,0.3590169868496938,3,44
3,8,0.4405898279454622,1784.5402312277517,0.3511846988194285,3,44
3,9,0.4405898279454622,1645.9910500427645,0.33500000317299794,3,44
4,2,0.5126669900109692,8238.919842963867,0.290291479846232,3,44
4,3,0.5126669900109692,6475.283912137227,0.28796611336791844,3,44
4,4,0.5126669900109692,5223.707818035653,0.30016385976157794,3,44
4,5,0.5126669900109692,4306.096415475331,0.30947347713645795,3,44
4,6,0.5126669900109692,3678.4857685118373,0.3191440568272013,3,44
4,7,0.5126669900109692,3240.1337420844743,0.3191368283695207,3,44
4,8,0.5126669900109692,2909.6481089254416,0.29898061780494073,3,44
4,9,0.5126669900109692,2701.3753884738103,0.29115979594344693,3,44
5,2,0.5601140877143415,9379.537029846824,0.26702796792098793,3,44
5,3,0.5601140877143415,7540.519239136821,0.26288634745538714,3,44
5,4,0.5601140877143415,6258.16793488055,0.26114280335831036,3,44
5,5,0.5601140877143415,5198.725325569144,0.29182870376339715,3,44
5,6,0.5601140877143415,4487.708520630982,0.29942648776581193,3,44
5,7,0.5601140877143415,4038.113010516123,0.2929444663236595,3,44
5,8,0.5601140877143415,3691.8916426542582,0.271383705226512,3,44
5,9,0.5601140877143415,3444.2809150114326,0.2738380197799774,3,44
6,2,0.5926000901089423,10156.123945684049,0.25235507518294864,3,44
6,3,0.5926000901089423,8304.934839551755,0.24400287261360956,3,44
6,4,0.5926000901089423,7020.540271974374,0.24217366897230294,3,44
6,5,0.5926000901089423,5911.419394572153,0.27137943215266236,3,44
6,6,0.5926000901089423,5199.009086180237,0.2759129014450153,3,44
6,7,0.5926000901089423,4737.295240332809,0.26377607483083254,3,44
6,8,0.5926000901089423,4403.085362744189,0.24674779191908347,3,44
6,9,0.5926000901089423,4171.3220122589455,0.2398724329793456,3,44
7,2,0.6196488847475076,10805.573410000954,0.24164498786697503,3,44
7,3,0.6196488847475076,8947.96163972374,0.22988942367577075,3,44
7,4,0.6196488847475076,7631.910829911452,0.23831459969679147,3,44
7,5,0.6196488847475076,6502.654333665872,0.25858359276176124,3,44
7,6,0.6196488847475076,5768.271030290307,0.2647112593035042,3,44
7,7,0.6196488847475076,5291.449462400968,0.2533882222321098,3,44
7,8,0.6196488847475076,4933.075290422864,0.23369507494564948,3,44
7,9,0.6196488847475076,4690.870790714342,0.22554392232493956,3,44
8,2,0.6435999530117813,11380.913275193336,0.23241539725560664,3,44
8,3,0.6435999530117813,9515.268035868727,0.21956792792485533,3,44
8,4,0.6435999530117813,8235.136810665132,0.22483945001187577,3,44
8,5,0.6435999530117813,7050.559906341265,0.24299725199504685,3,44
8,6,0.6435999530117813,6309.617102186168,0.2510274142343145,3,44
8,7,0.6435999530117813,5810.442990985507,0.24127155579175752,3,44
8,8,0.6435999530117813,5457.50184619798,0.21718736988778767,3,44
8,9,0.6435999530117813,5172.70137316537,0.2147647956642928,3,44
10,2,0.6856712899839917,12391.560745527486,0.21772371392428133,3,44
10,3,0.6856712899839917,10515.712786303568,0.20256124957770377,3,44
10,4,0.6856712899839917,9192.30536173167,0.20508945266686424,3,44
10,5,0.6856712899839917,8021.012745101714,0.22222522189924152,3,44
10,6,0.6856712899839917,7269.728126952934,0.22931037674924415,3,44
10,7,0.6856712899839917,6761.724537907317,0.21676977205968045,3,44
10,8,0.6856712899839917,6401.932728012402,0.195786392717635,3,44
10,9,0.6856712899839917,6141.968599274045,0.18841848106344417,3,44
12,2,0.717299561974881,13150.818298923157,0.20807422365219766,3,44
12,3,0.717299561974881,11271.442585902058,0.1907148168881578,3,44
12,4,0.717299561974881,10028.407820742817,0.1949519460443974,3,44
12,5,0.717299561974881,8770.105555795315,0.20831704768656345,3,44
12,6,0.717299561974881,8005.235887221095,0.21714490090783045,3,44
12,7,0.717299561974881,7513.054655106782,0.19844885562289827,3,44
12,8,0.717299561974881,7148.353272871482,0.17735722869637013,3,44
12,9,0.717299561974881,6876.6254423033715,0.1728644994806681,3,44
15,2,0.7518043793596957,13977.268730393112,0.19845734982059862,3,44
15,3,0.7518043793596957,12094.82380352612,0.17919232018294387,3,44
15,4,0.7518043793596957,10749.850592985225,0.18479566605338957,3,44
15,5,0.7518043793596957,9571.80363144525,0.19606765588636718,3,44
15,6,0.7518043793596957,8804.267464444845,0.20395865932677065,3,44
15,7,0.7518043793596957,8313.995698191047,0.18477730330499018,3,44
15,8,0.7518043793596957,7974.267144962615,0.16719505174267152,3,44
15,9,0.7518043793596957,7694.643508348866,0.167318162839477,3,44
18,2,0.780349700858833,14661.524181173903,0.191537613970868,3,44
18,3,0.780349700858833,12779.670909876819,0.17172045615356143,3,44
18,4,0.780349700858833,11431.617800716358,0.17848793138147895,3,44
18,5,0.780349700858833,10241.391677320065,0.19010203711867124,3,44
18,6,0.780349700858833,9467.177361105225,0.1921152818941411,3,44
18,7,0.780349700858833,8948.462663829554,0.17939314268551998,3,44
18,8,0.780349700858833,8705.088497339228,0.15286379799761002,3,44
18,9,0.780349700858833,8216.185216447804,0.1588978551951736,3,44
20,2,0.7965398467061695,15049.927193894437,0.18760030482978793,3,44
20,3,0.7965398467061695,13157.800296349778,0.16799633977749265,3,44
20,4,0.7965398467061695,11806.520265465413,0.17187180972508137,3,44
20,5,0.7965398467061695,10618.310420524786,0.18276244333936478,3,44
20,6,0.7965398467061695,9847.810635059488,0.18572319313724348,3,44
20,7,0.7965398467061695,9324.622337617988,0.17413970666225054,3,44
20,8,0.7965398467061695,8931.610441664765,0.15325867494470954,3,44
20,9,0.7965398467061695,8609.452356120135,0.1552926762348662,3,44
25,2,0.8290328274876758,15827.92849916732,0.18064089373654318,3,44
25,3,0.8290328274876758,13938.692899181257,0.16136162696711437,3,44
25,4,0.8290328274876758,12579.290876640063,0.16602398011420297,3,44
25,5,0.8290328274876758,11388.575658401107,0.1733118300460245,3,44
25,6,0.8290328274876758,10594.434841870394,0.17709548076757195,3,44
25,7,0.8290328274876758,10074.332404515939,0.16287210972491561,3,44
25,8,0.8290328274876758,9708.297990542602,0.1450524596409198,3,44
25,9,0.8290328274876758,9342.401389318975,0.1401571741850507,3,44
30,2,0.8547381936542466,16445.1790273036,0.17525833138693733,3,44
30,3,0.8547381936542466,14550.74959549651,0.15356283797999648,3,44
30,4,0.8547381936542466,13191.1773980136,0.1576215326810405,3,44
30,5,0.8547381936542466,11993.536423600406,0.16794012914421494,3,44
30,6,0.8547381936542466,11200.390590611512,0.16959106659599307,3,44
30,7,0.8547381936542466,10675.337709496605,0.15442984809968982,3,44
30,8,0.8547381936542466,10338.253459349262,0.1375442805690516,3,44
30,9,0.8547381936542466,9923.258070278695,0.1398298226753617,3,44
